DEB [20180120-15:20:32.080] thr=1   paramiko.transport: starting thread (client mode): 0x1a147d0L
DEB [20180120-15:20:32.081] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.4.0
DEB [20180120-15:20:32.091] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_6.6.1
INF [20180120-15:20:32.091] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_6.6.1)
DEB [20180120-15:20:32.095] thr=1   paramiko.transport: kex algos:[u'curve25519-sha256@libssh.org', u'ecdh-sha2-nistp256', u'ecdh-sha2-nistp384', u'ecdh-sha2-nistp521', u'diffie-hellman-group-exchange-sha256', u'diffie-hellman-group-exchange-sha1', u'diffie-hellman-group14-sha1', u'diffie-hellman-group1-sha1'] server key:[u'ssh-rsa', u'ecdsa-sha2-nistp256', u'ssh-ed25519'] client encrypt:[u'aes128-ctr', u'aes192-ctr', u'aes256-ctr', u'arcfour256', u'arcfour128', u'aes128-gcm@openssh.com', u'aes256-gcm@openssh.com', u'chacha20-poly1305@openssh.com', u'aes128-cbc', u'3des-cbc', u'blowfish-cbc', u'cast128-cbc', u'aes192-cbc', u'aes256-cbc', u'arcfour', u'rijndael-cbc@lysator.liu.se'] server encrypt:[u'aes128-ctr', u'aes192-ctr', u'aes256-ctr', u'arcfour256', u'arcfour128', u'aes128-gcm@openssh.com', u'aes256-gcm@openssh.com', u'chacha20-poly1305@openssh.com', u'aes128-cbc', u'3des-cbc', u'blowfish-cbc', u'cast128-cbc', u'aes192-cbc', u'aes256-cbc', u'arcfour', u'rijndael-cbc@lysator.liu.se'] client mac:[u'hmac-md5-etm@openssh.com', u'hmac-sha1-etm@openssh.com', u'umac-64-etm@openssh.com', u'umac-128-etm@openssh.com', u'hmac-sha2-256-etm@openssh.com', u'hmac-sha2-512-etm@openssh.com', u'hmac-ripemd160-etm@openssh.com', u'hmac-sha1-96-etm@openssh.com', u'hmac-md5-96-etm@openssh.com', u'hmac-md5', u'hmac-sha1', u'umac-64@openssh.com', u'umac-128@openssh.com', u'hmac-sha2-256', u'hmac-sha2-512', u'hmac-ripemd160', u'hmac-ripemd160@openssh.com', u'hmac-sha1-96', u'hmac-md5-96'] server mac:[u'hmac-md5-etm@openssh.com', u'hmac-sha1-etm@openssh.com', u'umac-64-etm@openssh.com', u'umac-128-etm@openssh.com', u'hmac-sha2-256-etm@openssh.com', u'hmac-sha2-512-etm@openssh.com', u'hmac-ripemd160-etm@openssh.com', u'hmac-sha1-96-etm@openssh.com', u'hmac-md5-96-etm@openssh.com', u'hmac-md5', u'hmac-sha1', u'umac-64@openssh.com', u'umac-128@openssh.com', u'hmac-sha2-256', u'hmac-sha2-512', u'hmac-ripemd160', u'hmac-ripemd160@openssh.com', u'hmac-sha1-96', u'hmac-md5-96'] client compress:[u'none', u'zlib@openssh.com'] server compress:[u'none', u'zlib@openssh.com'] client lang:[u''] server lang:[u''] kex follows?False
DEB [20180120-15:20:32.095] thr=1   paramiko.transport: Kex agreed: ecdh-sha2-nistp256
DEB [20180120-15:20:32.095] thr=1   paramiko.transport: HostKey agreed: ssh-ed25519
DEB [20180120-15:20:32.095] thr=1   paramiko.transport: Cipher agreed: aes128-ctr
DEB [20180120-15:20:32.095] thr=1   paramiko.transport: MAC agreed: hmac-sha2-256
DEB [20180120-15:20:32.095] thr=1   paramiko.transport: Compression agreed: none
DEB [20180120-15:20:32.153] thr=1   paramiko.transport: kex engine KexNistp256 specified hash_algo <built-in function openssl_sha256>
DEB [20180120-15:20:32.153] thr=1   paramiko.transport: Switch to new keys ...
DEB [20180120-15:20:32.167] thr=2   paramiko.transport: Adding ssh-ed25519 host key for 54.222.212.135: f4d5fdc038ee5ab3c51eee9989c9d923
DEB [20180120-15:21:39.146] thr=1   paramiko.transport: starting thread (client mode): 0x8bc67d0L
DEB [20180120-15:21:39.146] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.4.0
DEB [20180120-15:21:39.156] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_6.6.1
INF [20180120-15:21:39.156] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_6.6.1)
